,Unnamed: 0,id,energy,location,vehicle_status,remain_trip_time,destination,dispatched_charging_time,dispatched_serving_time,update_status
294,294,294,14,34,0,0,9,42,42,1
295,295,295,10,12,0,0,12,42,42,1
296,296,296,4,26,2,17,14,41,42,1
297,297,297,5,1,0,0,1,41,42,1
298,298,298,0,12,1,0,12,39,42,1
299,299,299,0,7,1,0,7,40,42,1
300,300,300,7,15,0,0,15,41,42,1
301,301,301,6,17,0,0,17,41,42,1
302,302,302,8,18,0,0,18,41,42,1
303,303,303,0,9,1,0,9,40,42,1
304,304,304,3,14,0,0,8,42,42,1
305,305,305,13,2,1,0,35,42,42,1
306,306,306,7,28,2,23,16,41,42,1
307,307,307,3,24,0,0,7,42,42,1
308,308,308,0,7,1,0,26,39,42,1
309,309,309,12,4,0,0,4,39,42,1
310,310,310,0,3,1,0,34,40,42,1
311,311,311,3,34,0,0,8,42,42,1
312,312,312,5,26,2,31,14,41,42,1
313,313,313,4,7,0,0,7,39,42,1
314,314,314,7,8,1,0,24,41,42,1
315,315,315,11,12,0,0,12,39,42,1
316,316,316,10,34,0,0,34,41,42,1
317,317,317,3,14,0,0,14,41,42,1
318,318,318,2,21,0,0,21,39,42,1
319,319,319,8,26,2,8,7,41,42,1
320,320,320,8,4,1,0,13,42,42,1
321,321,321,11,15,0,0,15,41,42,1
322,322,322,4,26,2,24,8,41,42,1
323,323,323,0,8,1,0,8,41,42,1
324,324,324,13,14,0,0,17,42,42,1
325,325,325,11,4,1,0,26,42,42,1
326,326,326,5,22,0,0,22,39,42,1
327,327,327,5,10,1,0,26,40,42,1
328,328,328,14,34,0,0,36,42,41,1
329,329,329,13,26,2,11,14,39,42,1
330,330,330,5,7,1,0,7,41,42,1
331,331,331,7,18,2,10,9,40,42,1
332,332,332,6,26,2,23,14,42,42,1
333,333,333,13,31,0,0,31,41,42,1
334,334,334,10,4,1,0,16,42,42,1
335,335,335,10,0,1,0,18,42,42,1
336,336,336,11,26,2,8,14,42,42,1
337,337,337,8,4,1,0,4,33,42,1
338,338,338,7,15,2,54,16,41,42,1
339,339,339,6,3,1,0,21,41,42,1
340,340,340,14,20,0,0,26,42,42,1
341,341,341,3,13,0,0,22,42,42,1
342,342,342,8,4,1,0,17,42,42,1
343,343,343,6,3,1,0,29,41,42,1
344,344,344,2,16,0,0,16,40,42,1
345,345,345,4,18,2,1,4,39,42,1
346,346,346,7,4,0,0,4,41,42,1
347,347,347,7,33,2,3,15,42,42,1
348,348,348,3,2,0,0,2,40,42,1
349,349,349,7,26,2,2,9,41,42,1
350,350,350,3,27,0,0,24,42,42,1
351,351,351,5,9,0,0,9,39,42,1
352,352,352,0,13,0,0,11,42,42,1
353,353,353,10,17,0,0,17,42,42,1
354,354,354,5,15,0,0,15,40,42,1
355,355,355,5,35,0,0,35,40,42,1
356,356,356,6,1,1,0,18,38,42,1
357,357,357,2,24,0,0,24,41,42,1
358,358,358,0,2,1,0,11,38,42,1
359,359,359,3,31,0,0,16,42,42,1
360,360,360,2,26,2,1,35,40,42,1
361,361,361,8,5,0,0,5,41,42,1
362,362,362,12,0,1,0,3,39,42,1
363,363,363,10,15,0,0,15,41,42,1
364,364,364,10,10,0,0,10,41,42,1
365,365,365,8,1,1,0,2,41,42,1
366,366,366,3,26,2,41,4,41,42,1
367,367,367,0,14,1,0,14,40,41,1
368,368,368,12,11,0,0,11,42,42,1
369,369,369,1,7,0,0,7,33,42,1
370,370,370,4,9,0,0,9,39,42,1
371,371,371,9,18,2,1,2,42,42,1
372,372,372,10,16,0,0,16,41,42,1
373,373,373,9,3,1,0,7,42,42,1
374,374,374,14,33,0,0,0,42,42,1
375,375,375,13,11,2,10,4,42,42,1
376,376,376,11,1,1,0,20,42,42,1
377,377,377,10,9,0,0,9,41,42,1
378,378,378,2,5,1,0,15,40,42,1
379,379,379,0,7,1,0,8,39,42,1
380,380,380,3,7,0,0,7,38,42,1
381,381,381,0,12,1,0,14,41,42,1
382,382,382,10,4,1,0,15,37,42,1
383,383,383,5,18,2,4,1,36,42,1
384,384,384,1,16,1,0,16,38,42,1
385,385,385,8,18,2,1,2,41,42,1
386,386,386,14,31,0,0,16,42,42,1
387,387,387,9,0,1,0,3,42,42,1
388,388,388,0,9,0,0,9,39,42,1
389,389,389,10,0,0,0,0,42,42,1
390,390,390,7,4,0,0,4,41,42,1
391,391,391,11,20,0,0,20,42,42,1
392,392,392,3,16,0,0,16,40,42,1
393,393,393,0,11,1,0,32,40,42,1
394,394,394,4,16,0,0,16,37,42,1
395,395,395,14,19,0,0,2,42,41,1
396,396,396,7,26,0,0,26,41,42,1
397,397,397,8,8,0,0,8,41,42,1
398,398,398,9,13,0,0,13,41,42,1
399,399,399,11,26,2,7,14,42,42,1
400,400,400,10,14,0,0,14,41,42,1
401,401,401,0,16,0,0,16,40,42,1
402,402,402,0,17,1,0,17,40,42,1
403,403,403,14,31,0,0,16,42,41,1
404,404,404,11,33,2,59,16,39,42,1
405,405,405,12,22,0,0,22,42,42,1
